ConstNode,Reference,ConcretePattern,AbstractPattern,Node,Pattern,ParentOne,ParentTwo,ParentThree,NodeItself,SizeProg,NumberOp,Label
1,0,1,5,1,2,11,0,2,0,0,44,1,1
2,0,1,5,1,1,11,1,1,0,0,42,1,1
3,0,1,4,2,2,11,0,2,0,0,44,1,1
4,0,1,4,2,2,11,0,2,0,0,44,1,1
5,0,1,4,2,1,11,1,1,0,0,42,1,1
6,0,1,4,2,1,11,1,1,0,0,42,1,1
7,0,1,4,1,2,9,1,1,0,0,38,1,1
8,0,1,4,2,2,11,0,2,0,0,44,1,1
9,0,1,4,2,2,11,0,2,0,0,44,1,1
10,0,1,4,2,2,11,0,2,0,0,44,1,1
11,0,1,4,2,1,11,1,1,0,0,42,1,1
12,0,1,4,2,1,11,1,1,0,0,42,1,1
13,0,1,4,2,1,11,1,1,0,0,42,1,1
14,0,1,4,0,2,7,1,1,0,0,32,1,1
15,0,1,4,0,1,7,2,0,0,0,30,1,1
16,0,1,3,3,2,11,0,2,0,0,44,1,1
17,0,1,3,3,1,11,1,1,0,0,42,1,1
18,0,1,3,2,2,9,1,1,0,0,38,1,1
19,1,0,3,1,3,8,0,1,0,0,34,1,1
20,0,1,3,3,2,11,0,2,0,0,44,1,1
21,0,1,3,3,2,11,0,2,0,0,44,1,1
22,0,1,3,3,2,11,0,2,0,0,44,1,1
23,0,1,3,3,2,11,0,2,0,0,44,1,1
24,0,1,3,3,2,11,0,2,0,0,44,1,1
25,0,1,3,3,2,11,0,2,0,0,44,1,1
26,0,1,3,3,1,11,1,1,0,0,42,1,1
27,0,1,3,3,1,11,1,1,0,0,42,1,1
28,0,1,3,3,1,11,1,1,0,0,42,1,1
29,0,1,3,3,1,11,1,1,0,0,42,1,1
30,0,1,3,3,1,11,1,1,0,0,42,1,1
31,0,1,3,3,1,11,1,1,0,0,42,1,1
32,0,1,3,2,2,9,1,1,0,0,38,1,1
33,0,1,3,2,2,9,1,1,0,0,38,1,1
34,0,1,3,2,2,9,1,1,0,0,38,1,1
35,0,1,3,1,2,7,1,1,0,0,32,1,1
36,0,1,3,1,2,7,1,1,0,0,32,1,1
37,0,1,3,1,1,7,2,0,0,0,30,1,1
38,0,1,3,1,1,7,2,0,0,0,30,1,1
39,0,1,3,0,2,5,2,0,0,0,26,1,1
40,0,1,3,3,2,11,0,2,0,0,44,1,1
41,0,1,3,3,2,11,0,2,0,0,44,1,1
42,0,1,3,3,2,11,0,2,0,0,44,1,1
43,0,1,3,3,1,11,1,1,0,0,42,1,1
44,0,1,3,3,1,11,1,1,0,0,42,1,1
45,0,1,3,3,1,11,1,1,0,0,42,1,1
46,0,1,3,1,2,7,1,1,0,0,32,1,1
47,0,1,3,1,2,7,1,1,0,0,32,1,1
48,0,1,3,1,1,7,2,0,0,0,30,1,1
49,0,1,3,1,1,7,2,0,0,0,30,1,1
50,0,1,2,4,2,11,0,2,0,0,44,1,1
51,0,1,2,4,2,11,0,2,0,0,44,1,1
52,0,1,2,4,2,11,0,2,0,0,44,1,1
53,0,1,2,4,1,11,1,1,0,0,42,1,1
54,0,1,2,4,1,11,1,1,0,0,42,1,1
55,0,1,2,4,1,11,1,1,0,0,42,1,1
56,0,1,2,3,2,9,1,1,0,0,38,1,1
57,0,1,2,3,2,9,1,1,0,0,38,1,1
58,0,1,2,3,2,9,1,1,0,0,38,1,1
59,1,0,2,2,3,8,0,1,0,0,34,1,1
60,1,0,2,2,3,8,0,1,0,0,34,1,1
61,1,0,2,2,3,8,0,1,0,0,34,1,1
62,0,1,2,2,2,7,1,1,0,0,32,1,1
63,0,1,2,2,1,7,2,0,0,0,30,1,1
64,0,1,2,1,2,5,2,0,0,0,26,1,1
65,1,0,2,0,3,4,1,0,0,0,22,1,1
66,0,1,2,4,2,11,0,2,0,0,44,1,1
67,0,1,2,4,2,11,0,2,0,0,44,1,1
68,0,1,2,4,2,11,0,2,0,0,44,1,1
69,0,1,2,4,2,11,0,2,0,0,44,1,1
70,0,1,2,4,2,11,0,2,0,0,44,1,1
71,0,1,2,4,2,11,0,2,0,0,44,1,1
72,0,1,2,4,1,11,1,1,0,0,42,1,1
73,0,1,2,4,1,11,1,1,0,0,42,1,1
74,0,1,2,4,1,11,1,1,0,0,42,1,1
75,0,1,2,4,1,11,1,1,0,0,42,1,1
76,0,1,2,4,1,11,1,1,0,0,42,1,1
77,0,1,2,4,1,11,1,1,0,0,42,1,1
78,0,1,2,3,2,9,1,1,0,0,38,1,1
79,0,1,2,3,2,9,1,1,0,0,38,1,1
80,0,1,2,3,2,9,1,1,0,0,38,1,1
81,0,1,2,2,2,7,1,1,0,0,32,1,1
82,0,1,2,2,2,7,1,1,0,0,32,1,1
83,0,1,2,2,2,7,1,1,0,0,32,1,1
84,0,1,2,2,2,7,1,1,0,0,32,1,1
85,0,1,2,2,1,7,2,0,0,0,30,1,1
86,0,1,2,2,1,7,2,0,0,0,30,1,1
87,0,1,2,2,1,7,2,0,0,0,30,1,1
88,0,1,2,2,1,7,2,0,0,0,30,1,1
89,0,1,2,1,2,5,2,0,0,0,26,1,1
90,0,1,2,1,2,5,2,0,0,0,26,1,1
91,0,1,2,4,2,11,0,2,0,0,44,1,1
92,0,1,2,4,1,11,1,1,0,0,42,1,1
93,0,1,2,2,2,7,1,1,0,0,32,1,1
94,0,1,2,2,1,7,2,0,0,0,30,1,1
95,0,1,1,5,2,11,0,2,0,0,44,1,1
96,0,1,1,5,2,11,0,2,0,0,44,1,1
97,0,1,1,5,2,11,0,2,0,0,44,1,1
98,0,1,1,5,1,11,1,1,0,0,42,1,1
99,0,1,1,5,1,11,1,1,0,0,42,1,1
100,0,1,1,5,1,11,1,1,0,0,42,1,1
101,0,1,1,4,2,9,1,1,0,0,38,1,1
102,0,1,1,4,2,9,1,1,0,0,38,1,1
103,0,1,1,4,2,9,1,1,0,0,38,1,1
104,1,0,1,3,3,8,0,1,0,0,34,1,1
105,1,0,1,3,3,8,0,1,0,0,34,1,1
106,1,0,1,3,3,8,0,1,0,0,34,1,1
107,0,1,1,3,2,7,1,1,0,0,32,1,1
108,0,1,1,3,2,7,1,1,0,0,32,1,1
109,0,1,1,3,1,7,2,0,0,0,30,1,1
110,0,1,1,3,1,7,2,0,0,0,30,1,1
111,0,1,1,2,2,5,2,0,0,0,26,1,1
112,0,1,1,2,2,5,2,0,0,0,26,1,1
113,1,0,1,1,3,4,1,0,0,0,22,1,1
114,1,0,1,1,3,4,1,0,0,0,22,1,1
115,0,1,1,5,2,11,0,2,0,0,44,1,1
116,0,1,1,5,2,11,0,2,0,0,44,1,1
117,0,1,1,5,1,11,1,1,0,0,42,1,1
118,0,1,1,5,1,11,1,1,0,0,42,1,1
119,0,1,1,4,2,9,1,1,0,0,38,1,1
120,0,1,1,3,2,7,1,1,0,0,32,1,1
121,0,1,1,3,2,7,1,1,0,0,32,1,1
122,0,1,1,3,1,7,2,0,0,0,30,1,1
123,0,1,1,3,1,7,2,0,0,0,30,1,1
124,0,1,1,2,2,5,2,0,0,0,26,1,1
125,0,1,0,6,2,11,0,2,0,0,44,1,1
126,0,1,0,6,1,11,1,1,0,0,42,1,1
127,0,1,0,5,2,9,1,1,0,0,38,1,1
128,1,0,0,4,3,8,0,1,0,0,34,1,1
129,0,1,0,4,2,7,1,1,0,0,32,1,1
130,0,1,0,4,1,7,2,0,0,0,30,1,1
131,0,1,0,3,2,5,2,0,0,0,26,1,1
132,1,0,0,2,3,4,1,0,0,0,22,1,1
133,2,0,7,0,6,14,0,1,0,1,60,1,1
134,2,0,6,1,6,14,0,1,0,1,60,1,1
135,2,0,6,1,6,14,0,1,0,1,60,1,1
136,2,0,6,1,6,14,0,1,0,0,59,1,1
137,2,0,6,1,6,14,0,1,0,1,60,1,1
138,2,0,6,1,6,14,0,1,0,1,60,1,1
139,2,0,6,1,6,14,0,1,0,1,60,1,1
140,2,0,6,1,6,14,0,1,0,1,60,1,1
141,2,0,5,2,6,14,0,1,0,1,60,1,1
142,2,0,5,2,6,14,0,1,0,0,59,1,1
143,2,0,5,2,6,14,0,1,0,1,60,1,1
144,2,0,5,2,6,14,0,1,0,1,60,1,1
145,2,0,5,2,6,14,0,1,0,0,59,1,1
146,2,0,5,2,6,14,0,1,0,1,60,1,1
147,2,0,5,2,6,14,0,1,0,1,60,1,1
148,2,0,5,2,6,14,0,1,0,1,60,1,1
